row_index,longitude,latitude
0,144.99506100200017,-37.944838015998336
1,144.99506100200017,-37.944228015998334
2,144.99506100200017,-37.94361801599833
3,144.99506100200017,-37.94300801599833
4,144.99506100200017,-37.94239801599833
5,144.99506100200017,-37.94178801599833
6,144.99506100200017,-37.941178015998325
7,144.99506100200017,-37.934468015998306
8,144.99506100200017,-37.933858015998304
9,144.99506100200017,-37.9332480159983
10,144.99506100200017,-37.9326380159983
11,144.99506100200017,-37.9320280159983
12,144.99506100200017,-37.9314180159983
13,144.99506100200017,-37.930808015998295
14,144.99506100200017,-37.93019801599829
15,144.99506100200017,-37.92958801599829
16,144.99506100200017,-37.92897801599829
17,144.99506100200017,-37.92836801599829
18,144.99506100200017,-37.927758015998286
19,144.99506100200017,-37.927148015998284
20,144.99506100200017,-37.92653801599828
21,144.99506100200017,-37.92592801599828
22,144.99506100200017,-37.92531801599828
23,144.99506100200017,-37.92470801599828
24,144.99506100200017,-37.924098015998275
25,144.99506100200017,-37.923488015998274
26,144.99506100200017,-37.92287801599827
27,144.99506100200017,-37.92226801599827
28,144.99506100200017,-37.92165801599827
29,144.99506100200017,-37.92104801599827
30,144.99506100200017,-37.920438015998265
31,144.99506100200017,-37.91982801599826
32,144.99506100200017,-37.91921801599826
33,144.99506100200017,-37.91860801599826
34,144.99506100200017,-37.91799801599826
35,144.99506100200017,-37.917388015998256
36,144.99506100200017,-37.916778015998254
37,144.99506100200017,-37.91616801599825
38,144.99506100200017,-37.91555801599825
39,144.99506100200017,-37.91494801599825
40,144.99506100200017,-37.91433801599825
41,144.99506100200017,-37.913728015998245
42,144.99506100200017,-37.91311801599824
43,144.99506100200017,-37.91250801599824
44,144.99506100200017,-37.91189801599824
45,144.99506100200017,-37.91128801599824
46,144.99506100200017,-37.910678015998236
47,144.99506100200017,-37.910068015998235
48,144.99506100200017,-37.90945801599823
49,144.99506100200017,-37.90884801599823
50,144.99506100200017,-37.90823801599823
51,144.99506100200017,-37.90762801599823
52,144.99506100200017,-37.907018015998226
53,144.99506100200017,-37.906408015998224
54,144.99506100200017,-37.90579801599822
55,144.99506100200017,-37.90518801599822
56,144.99506100200017,-37.90457801599822
57,144.99506100200017,-37.90396801599822
58,144.99506100200017,-37.903358015998215
59,144.99506100200017,-37.90274801599821
60,144.99506100200017,-37.90213801599821
61,144.99506100200017,-37.90152801599821
62,144.99506100200017,-37.90091801599821
63,144.99506100200017,-37.900308015998206
64,144.99506100200017,-37.899698015998204
65,144.99506100200017,-37.8990880159982
66,144.99506100200017,-37.8984780159982
67,144.99506100200017,-37.8978680159982
68,144.99506100200017,-37.8972580159982
69,144.99506100200017,-37.896648015998196
70,144.99506100200017,-37.896038015998194
71,144.99506100200017,-37.89542801599819
72,144.99506100200017,-37.89481801599819
73,144.99506100200017,-37.89420801599819
74,144.99506100200017,-37.89359801599819
75,144.99506100200017,-37.892988015998185
76,144.99506100200017,-37.89237801599818
77,144.99506100200017,-37.89176801599818
78,144.99506100200017,-37.89115801599818
79,144.99506100200017,-37.89054801599818
80,144.99506100200017,-37.889938015998176
81,144.99506100200017,-37.889328015998174
82,144.99506100200017,-37.88871801599817
83,144.99506100200017,-37.88810801599817
84,144.99506100200017,-37.88749801599817
85,144.99506100200017,-37.88688801599817
86,144.99506100200017,-37.886278015998165
87,144.99506100200017,-37.885668015998164
88,144.99506100200017,-37.88505801599816
89,144.99506100200017,-37.88444801599816
90,144.99506100200017,-37.88383801599816
91,145.01406100200018,-37.97411801599842
92,145.01406100200018,-37.97350801599842
93,145.01406100200018,-37.97289801599842
94,145.01406100200018,-37.972288015998416
95,145.01406100200018,-37.971678015998414
96,145.01406100200018,-37.97106801599841
97,145.01406100200018,-37.97045801599841
98,145.01406100200018,-37.96984801599841
99,145.01406100200018,-37.96923801599841
100,145.01406100200018,-37.968628015998405
101,145.01406100200018,-37.9680180159984
102,145.01406100200018,-37.9674080159984
103,145.01406100200018,-37.9667980159984
104,145.01406100200018,-37.9661880159984
105,145.01406100200018,-37.965578015998396
106,145.01406100200018,-37.964968015998394
107,145.01406100200018,-37.96435801599839
108,145.01406100200018,-37.96374801599839
109,145.01406100200018,-37.96313801599839
110,145.01406100200018,-37.96252801599839
111,145.01406100200018,-37.961918015998386
