LGA CODE,LGA Name,Region,Functional Economic Area,Other Classifications,Partnerships Region ,Section of State
25900,Port Phillip (C),Melbourne,Inner Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
25990,Pyrenees (S),Central Highlands,Ballarat and Surrounds,Rural Victoria,Central Highlands,Regional Victoria
26080,Queenscliffe (B),G21,Geelong and Surrounds,Rural Victoria,Barwon,Regional Victoria
26170,South Gippsland (S),Gippsland,Gippsland South,Rural Victoria,Gippsland,Regional Victoria
26260,Southern Grampians (S),Great South Coast,Southern Grampians,Rural Victoria,Great South Coast,Regional Victoria
26350,Stonnington (C),Melbourne,Inner Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
26430,Strathbogie (S),Hume,Goulburn Valley,Rural Victoria,Goulburn,Regional Victoria
26490,Surf Coast (S),G21,Geelong and Surrounds,Rural Victoria,Barwon,Regional Victoria
26610,Swan Hill (RC),Loddon Mallee North,Swan Hill LMN,Rural Victoria,Mallee,Regional Victoria
26670,Towong (S),Hume,Upper Hume,Rural Victoria,Ovens Murray,Regional Victoria
29399,Unincorporated Vic,,,Rural Victoria,,Regional Victoria
26700,Wangaratta (RC),Hume,Central Hume,Regional Cities,Ovens Murray,Regional Victoria
26730,Warrnambool (C),Great South Coast,Warrnambool and Surrounds,Regional Cities,Great South Coast,Regional Victoria
26810,Wellington (S),Gippsland,Gippsland Latrobe,Rural Victoria,Gippsland,Regional Victoria
26890,West Wimmera (S),Wimmera Southern Mallee,West Wimmera WSM,Rural Victoria,Wimmera Southern Mallee,Regional Victoria
26980,Whitehorse (C),Melbourne,Inner Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
27070,Whittlesea (C),Melbourne,North Western Melbourne,Metropolitan Melbourne (Growth Areas),n/a,Metropolitan Melbourne
27170,Wodonga (RC),Hume,Upper Hume,Regional Cities,Ovens Murray,Regional Victoria
27260,Wyndham (C),Melbourne,Outer Western Melbourne,Metropolitan Melbourne (Growth Areas),n/a,Metropolitan Melbourne
27350,Yarra (C),Melbourne,Inner Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
27450,Yarra Ranges (S),Melbourne,Outer Eastern Melbourne,Metropolitan Melbourne (Inner-Middle),n/a,Metropolitan Melbourne
27630,Yarriambiack (S),Wimmera Southern Mallee,Yarriambiack WSM,Rural Victoria,Wimmera Southern Mallee,Regional Victoria
